English,Thai,,Important,Date
sèt rǔu yang,are you finished?,,TRUE,2019/10/02
aachîip,career,,FALSE,2019/10/02
phôok khrua,chef (man),,FALSE,2019/10/02
mâa khrua,chef (woman),,FALSE,2019/10/02
sà-àat,clean,,FALSE,2019/10/02
khwaan sà-àat,cleaner,,FALSE,2019/10/02
na rák,cute,,FALSE,2019/10/02
khàp,drive,,FALSE,2019/10/02
khon khàp rot,driver,,FALSE,2019/10/02
thúkthîi,everywhere,,FALSE,2019/10/02
nom sòt,fresh milk,,FALSE,2019/10/02
ùu,garage,,FALSE,2019/10/02
dâi,get/receive,,FALSE,2019/10/02
pai klai klai,go away (rude),,FALSE,2019/10/02
roongraam,hotel,,FALSE,2019/10/02
mâi aw khap,i don't want,,FALSE,2019/10/02
nam khǎang,ice,,FALSE,2019/10/02
khaang nai,inside,,FALSE,2019/10/02
hǎa ngeen,make money,,FALSE,2019/10/02
châang sôm rót,mechanic,,FALSE,2019/10/02
nom phǒng,milk powder,,FALSE,2019/10/02
cháaw,morning,,FALSE,2019/10/02
khon khâi,patient,,FALSE,2019/10/02
sàthǎanii,station,,TRUE,2019/10/02
yàak,want (to do),,TRUE,2019/10/02
aw,want (to have),,TRUE,2019/10/02
pii,year,,FALSE,2019/09/30
sàwàtdi,hello,,TRUE,
phǒm/chǎn chûu,my name is,,TRUE,
sàbaay dii mǎi,how are you?,,TRUE,
pen ngai,how's it going?,,TRUE,
sàbaay dii,I'm fine,,TRUE,
mâi sàbaay,not fine,,TRUE,
chěey chěey,so-so,,TRUE,
khun là,and you?,,TRUE,
yin dii thîi dâi rún jàk,nice to meet you,,TRUE,
chên kan,you too,,TRUE,
khòop khun,thank you,,TRUE,
yin dii khráp,you're welcome,,TRUE,
khǒo thôot,sorry/excuse me,,TRUE,
mâi pen rai,it's okay/that's alright,,TRUE,
mâi mii panhǎa,no problem,,TRUE,
jee kan mài,see you again,,TRUE,
chook dii,good luck,,TRUE,
khàp bâan dii dii,go home safely,,TRUE,
sǐi khǐaw,green,,TRUE,
sǐi chompuu,pink,,TRUE,
sǐi lǔang,yellow,,TRUE,
sǐi sôm,orange,,TRUE,
sǐi thaw,grey,,TRUE,
sǐi daang,red,,TRUE,
sǐi mûang,purple,,TRUE,
sǐi námtaan,brown,,TRUE,
sǐi fáa,blue,,TRUE,
sǐi dam,black,,TRUE,
sǐi námngeen,dark blue,,TRUE,
sǐi khǎaw,white,,TRUE,
khun chôop sǐi arai,what color do you like?,,TRUE,
maa jàak,come from,,TRUE,
pràthêet,country,khun maa jàak pràthêet arai,TRUE,
toon-níi,now,toon-níi phǒm yàak klàp bâan,TRUE,
yàak,want,,TRUE,
klàp,return,,TRUE,
bâan,house,,TRUE,
taangmoo,watermelon,,TRUE,
klûay,banana,,TRUE,
línjìi,lychee,,TRUE,
sôm,orange,,TRUE,
málákoo,papaya,,TRUE,
angùn,grapes,,TRUE,
chompûu,rose apple,,TRUE,
khanǔn,jackfruit,,TRUE,
túbtìm,pomegranate,,TRUE,
sàppàrót,pineapple,,TRUE,
mangkút,mangosteen,,TRUE,
sôm-oo,pomelo,,TRUE,
nóoynàa,custard apple,,TRUE,
mápráw,coconut,,TRUE,
lamyai,longan,,TRUE,
túrian,durian,,TRUE,
kâawmangkoon,dragonfruit,,TRUE,
mánaaw,lime/lemon,,TRUE,
sǎwwarot,passionfruit,,TRUE,
ngó,rambutan,,TRUE,
mámûang,mango,,TRUE,
fáràng,guava,,TRUE,
phǒnlámái,fruit,,TRUE,
khăw,he/she/they,,TRUE,
khun,you,,TRUE,
arai,what?,,TRUE,
thamngaan,work,,TRUE,
nákbanchii,accountant,,TRUE,
nakkhiăn,writer,,TRUE,
nákrian,student,,TRUE,
nákthúrákit,businessman,,TRUE,
nám,water,,TRUE,
nùng,one,,TRUE,
sǒong,two,,TRUE,
sǎam,three,,TRUE,
sìi,four,,TRUE,
hâa,five,,TRUE,
hòk,siz,,TRUE,
jèd,seven,,TRUE,
pàad,eight,,TRUE,
kâaw,nine,,TRUE,
sìp,ten,,TRUE,
sìp èd,eleven,,TRUE,
sìp sǒong,twelve,,TRUE,
sìp sǎam,thirteen,,TRUE,
yîi sìp,twenty,,TRUE,
yîi sìp èd,twenty one,,TRUE,
sǎam sìp,thirty,,TRUE,
nùng róoy,one hundred,,TRUE,
fǒn tòk,raining,,FALSE,2019/10/16
fǒn mâi tòk,not raining,,FALSE,2019/10/16
mâi khâw jai,don't understand,,TRUE,2019/10/16
mii khwaan sùk,happy,khun mii khwaan sùk mǎi,TRUE,2019/10/16
raaw,we/us/our,,TRUE,2019/10/16
khrôop khrua,family,,TRUE,2019/10/16
raakhaa,cost/price,phǒm súu jàkkà yaan raakhaa 1500 baht,TRUE,2019/10/16
phróo,because,khăw yûng mâk phróo khăw thamngaan thúk wan,TRUE,2019/10/16
tà lòk,funny,,FALSE,2019/10/16
rian,study,,TRUE,
tàa,but,,TRUE,
thîi,at,,TRUE,
roongrian,school,,TRUE,
aahǎan,food,,TRUE,
phèt,spicy,,TRUE,
chaa,tea,,TRUE,
wan sǎw aathít,last weekend,,TRUE,
thîaw,hangout/travel,pai thîaw,TRUE,
mâi mii,don't have,,TRUE,
уùu,be (somewhere),,TRUE,
àan,read,khun àan năng suu phim,TRUE,
năng sǔu,book,,TRUE,
năng sǔu phim,newspaper,,TRUE,
súu,buy,,TRUE,
súu khǒong,shopping,,TRUE,
boorísàt,company,,TRUE,
hộongnoon,bedroom,,TRUE,
hộongnam,toilet,,TRUE,
ráanaahaan,restaurant,,TRUE,
roongphayaabaan,hospital,,TRUE,
roongnǎng,cinema,,TRUE,
thamaahaan,cooking,,TRUE,
thanǒn,road/street,,TRUE,
thîi nǎi,where?,,TRUE,
mǒo,doctor,,TRUE,
hộongkhrua,kitchen,,TRUE,
kaan bâan,homework,,TRUE,
tham,doing,,TRUE,
năng,movie,,TRUE,
khàaw,news,,TRUE,
khànǒm,snack,,TRUE,
sûa phâa,clothes,,TRUE,
mootee sai,motorbike,,TRUE,
tà làat,market,,TRUE,
sèep,serve,,TRUE,
